estado,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2024/13,2024/14,2024/15,2024/16,2024/17,2024/18,2024/19,2024/20,2024/21,2024/22,2024/23,2024/24,2024/25,2024/26,2024/27,2024/28,2024/29,2024/30,2024/31,2024/32,2024/33,2024/34,2024/35,2024/36,2024/37,2024/38,2024/39,2024/40,2024/41,2024/42,2024/43,2024/44,2024/45,2024/46,2024/47,2024/48,2024/49,2024/50,2024/51,2024/52,2025/01,2025/02,2025/03
AC,6620.0,4970.0,4630.0,3560.0,2550.0,1870.0,1390.0,1410.0,1230.0,1210.0,1160.0,740.0,920.0,780.0,800.0,940.0,720.0,620.0,510.0,300.0,340.0,380.0,210.0,220.0,200.0,230.0,230.0,210.0,210.0,150.0,240.0,260.0,210.0,180.0,170.0,190.0,290.0,290.0,360.0,640.0,680.0,690.0,880.0,930.0,870.0,1360.0,1770.0,1850.0,2520.0,3600.0,4030.0,1980.0,4960.0,5230.0,5130.0
AL,650.0,590.0,600.0,680.0,1170.0,1430.0,2520.0,5030.0,5590.0,5110.0,5220.0,5520.0,4330.0,4780.0,5670.0,5310.0,5090.0,5370.0,5300.0,5920.0,5410.0,5540.0,5900.0,7150.0,7190.0,5960.0,7280.0,7800.0,6530.0,6320.0,4610.0,4240.0,3960.0,3060.0,2990.0,2460.0,2360.0,2360.0,1770.0,1520.0,1340.0,1170.0,980.0,990.0,880.0,720.0,680.0,510.0,560.0,530.0,530.0,360.0,630.0,710.0,570.0
AM,5060.0,4660.0,6060.0,3770.0,3990.0,4810.0,4620.0,4440.0,4170.0,3760.0,3320.0,2340.0,1490.0,2140.0,1660.0,1480.0,1030.0,980.0,900.0,730.0,790.0,590.0,560.0,480.0,430.0,610.0,710.0,650.0,700.0,570.0,610.0,670.0,630.0,690.0,930.0,860.0,1090.0,740.0,650.0,640.0,850.0,780.0,920.0,1180.0,940.0,750.0,1360.0,930.0,1450.0,1260.0,990.0,560.0,1540.0,1610.0,1740.0
AP,1400.0,2100.0,2170.0,1970.0,3370.0,3790.0,5230.0,5920.0,6700.0,5680.0,3590.0,3400.0,3650.0,4100.0,3200.0,3050.0,2090.0,2000.0,1760.0,1900.0,1580.0,1650.0,2030.0,2000.0,2060.0,1860.0,2900.0,2530.0,2660.0,2290.0,2980.0,2170.0,2000.0,1810.0,1300.0,1130.0,1010.0,1080.0,940.0,970.0,740.0,700.0,520.0,530.0,280.0,470.0,300.0,210.0,230.0,190.0,180.0,70.0,440.0,920.0,840.0
BA,6560.0,7830.0,1015.0,1468.0,2687.0,3902.0,5673.0,10311.0,13992.0,15546.0,17439.0,18612.0,1698.0,19549.0,17721.0,15739.0,12402.0,10913.0,9667.0,7493.0,5749.0,3824.0,2931.0,2227.0,1561.0,1363.0,1262.0,1116.0,9650.0,7460.0,6870.0,5990.0,5400.0,4680.0,4080.0,3870.0,3960.0,3400.0,3250.0,2440.0,2800.0,3000.0,2900.0,3050.0,3320.0,3070.0,3650.0,4040.0,4230.0,4300.0,4040.0,2190.0,4750.0,5650.0,6730.0
CE,660.0,740.0,1020.0,1420.0,1780.0,1760.0,2030.0,2820.0,4050.0,4470.0,4330.0,4590.0,4740.0,7520.0,8450.0,7770.0,6410.0,6520.0,5110.0,4470.0,4020.0,3420.0,3560.0,3720.0,2970.0,2390.0,2820.0,2300.0,1790.0,1390.0,1670.0,1820.0,1440.0,1220.0,900.0,910.0,940.0,810.0,830.0,520.0,610.0,650.0,540.0,350.0,450.0,450.0,790.0,600.0,470.0,350.0,380.0,80.0,230.0,510.0,700.0
DF,8232.0,8502.0,12759.0,18867.0,22124.0,21655.0,21443.0,23123.0,21757.0,19022.0,17135.0,15291.0,10206.0,10447.0,9485.0,7331.0,5512.0,4332.0,358.0,3126.0,2758.0,1955.0,1339.0,8510.0,5670.0,2860.0,3280.0,2830.0,2080.0,2120.0,2410.0,2290.0,2500.0,2200.0,1840.0,1750.0,1870.0,1730.0,1970.0,1810.0,1680.0,1550.0,2020.0,2390.0,3340.0,3160.0,4720.0,3590.0,4030.0,3360.0,2980.0,1430.0,2910.0,3310.0,2870.0
ES,1146.0,1415.0,2007.0,2466.0,3459.0,4304.0,6142.0,8514.0,10626.0,11199.0,11689.0,10721.0,8309.0,859.0,7228.0,6557.0,5359.0,4566.0,4656.0,4067.0,3238.0,2179.0,1722.0,1954.0,1694.0,144.0,1258.0,9790.0,8900.0,8110.0,6680.0,6040.0,5470.0,5420.0,4990.0,5050.0,4350.0,4560.0,4700.0,5090.0,4420.0,5810.0,6630.0,6100.0,8110.0,8550.0,121.0,1418.0,163.0,1833.0,2153.0,1894.0,1702.0,1874.0,1928.0
GO,3527.0,3898.0,514.0,791.0,1166.0,13188.0,14999.0,17267.0,17801.0,17399.0,18424.0,1781.0,14491.0,1771.0,18162.0,18201.0,16493.0,1588.0,14183.0,11539.0,9013.0,6214.0,5237.0,4414.0,3268.0,2531.0,2324.0,1656.0,1301.0,122.0,1263.0,9830.0,9400.0,8510.0,7350.0,7470.0,7490.0,6660.0,5690.0,5780.0,6420.0,6440.0,7750.0,8890.0,9910.0,1139.0,1489.0,1508.0,1748.0,1592.0,1351.0,6570.0,1703.0,2456.0,2491.0
MA,630.0,870.0,880.0,820.0,1300.0,2220.0,4080.0,6210.0,7600.0,8260.0,9590.0,1098.0,7680.0,8640.0,8000.0,6890.0,4700.0,4040.0,3410.0,2450.0,2220.0,1420.0,1130.0,1040.0,1080.0,670.0,520.0,470.0,290.0,350.0,310.0,360.0,270.0,270.0,320.0,230.0,270.0,270.0,190.0,190.0,160.0,230.0,190.0,320.0,220.0,300.0,310.0,260.0,280.0,330.0,140.0,110.0,280.0,530.0,750.0
