DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2023
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110001 ALTA FLORESTA D'OESTE";41;39;50;34;19;22;3;8;7;6;7;3;3;14;8;3;2;3;7;9;3;8;3;2;10;1;3;3;-;-;3;4;2;1;3;1;4;2;3;4;2;3;1;6;3;1;1;6;4;3;-;-;378
"110002 ARIQUEMES";30;19;14;13;26;18;17;20;17;22;17;18;13;5;12;10;3;5;-;2;2;3;3;-;3;6;2;1;-;-;3;19;2;5;5;6;5;1;-;-;1;1;2;3;2;2;-;1;2;3;1;-;365
"110003 CABIXI";3;3;8;6;3;2;2;6;8;6;5;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
"110004 CACOAL";17;16;15;17;14;24;18;17;24;51;28;20;15;13;12;5;11;13;4;5;5;-;3;3;9;2;1;-;2;1;-;1;1;-;1;1;2;-;2;3;1;2;-;2;-;1;2;-;2;4;-;-;390
"110005 CEREJEIRAS";-;-;-;1;2;1;1;4;-;1;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;15
"110006 COLORADO DO OESTE";-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110007 CORUMBIARA";-;1;1;3;15;7;4;4;3;2;2;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
"110008 COSTA MARQUES";-;1;1;-;-;1;2;4;7;2;4;-;3;5;2;2;3;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;44
"110009 ESPIGAO D'OESTE";-;-;-;1;2;-;5;2;2;-;2;-;2;1;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"110010 GUAJARA-MIRIM";12;22;26;17;13;10;5;3;6;1;-;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;122
"110011 JARU";143;138;70;50;46;26;33;19;26;23;24;17;12;6;3;2;-;1;1;-;2;1;1;1;-;-;-;1;-;-;3;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;652
"110012 JI-PARANA";57;73;82;51;37;60;41;36;33;13;20;15;16;6;7;7;5;1;1;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;566
"110013 MACHADINHO D'OESTE";11;-;1;3;3;11;1;2;9;1;5;2;-;4;-;3;1;1;1;2;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;66
"110014 NOVA BRASILANDIA D'OESTE";4;6;12;8;5;6;5;3;5;11;6;1;2;3;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;82
"110015 OURO PRETO DO OESTE";1;2;3;4;1;1;2;2;-;1;-;4;3;2;2;-;2;-;1;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;40
"110018 PIMENTA BUENO";40;51;61;56;73;102;66;59;64;67;37;31;29;19;20;19;14;7;8;3;-;2;-;1;-;1;-;-;-;-;1;1;2;1;-;1;-;-;2;2;-;-;5;2;1;-;1;1;-;1;5;1;857
"110020 PORTO VELHO";22;30;41;51;58;57;41;43;79;70;48;46;36;33;35;26;26;27;20;18;25;15;13;10;13;13;14;16;18;8;4;8;8;4;2;2;4;2;4;5;9;9;10;5;9;5;2;11;8;13;4;6;1086
