DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"110001 ALTA FLORESTA D'OESTE";2;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;1;1;1;-;1;4;2;3;1;-;-;1;7;10;4;-;-;44
"110002 ARIQUEMES";1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;7
"110003 CABIXI";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110004 CACOAL";3;-;-;2;1;4;5;4;2;7;4;2;3;5;3;-;2;2;1;1;3;-;4;1;1;1;1;-;-;-;-;-;-;62
"110005 CEREJEIRAS";-;-;-;-;-;2;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110006 COLORADO DO OESTE";-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110007 CORUMBIARA";-;-;1;3;2;1;3;3;-;2;1;-;6;5;-;3;6;1;2;3;-;1;-;-;-;-;-;-;-;-;-;-;-;43
"110008 COSTA MARQUES";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110009 ESPIGAO D'OESTE";-;1;2;2;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;12
"110010 GUAJARA-MIRIM";-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
