DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2026
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Total"
"110002 ARIQUEMES";1;1;-;-;-;-;-;-;-;2
"110004 CACOAL";3;-;1;2;-;-;-;-;-;6
"110010 GUAJARA-MIRIM";1;-;2;1;-;1;-;-;-;5
"110011 JARU";1;-;-;-;-;1;2;-;-;4
"110012 JI-PARANA";1;-;-;-;-;-;-;-;-;1
"110013 MACHADINHO D'OESTE";-;-;-;1;1;-;-;-;-;2
"110015 OURO PRETO DO OESTE";-;1;-;1;-;-;-;-;-;2
"110020 PORTO VELHO";-;2;1;3;3;2;1;1;-;13
"110026 RIO CRESPO";-;-;-;-;-;1;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;-;-;-;-;1;-;1
"110030 VILHENA";1;1;-;-;-;-;-;-;-;2
"110032 SAO MIGUEL DO GUAPORE";4;-;2;-;-;-;-;-;-;6
"110034 ALVORADA D'OESTE";-;1;-;2;-;-;-;-;-;3
"110050 NOVO HORIZONTE DO OESTE";-;-;1;-;-;-;1;-;-;2
"110060 CACAULANDIA";1;-;-;-;-;-;-;-;-;1
"110092 CHUPINGUAIA";-;-;-;-;-;-;-;1;-;1
"110094 CUJUBIM";-;-;-;2;-;-;-;-;-;2
"110140 MONTE NEGRO";1;1;-;-;1;-;-;-;-;3
"110145 PARECIS";-;3;-;5;4;9;9;8;5;43
"110148 SAO FELIPE D'OESTE";1;1;2;-;4;3;2;1;-;14
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;1;-;-;-;1
"110150 SERINGUEIRAS";-;-;-;-;1;-;-;-;-;1
"110175 VALE DO ANARI";-;-;-;-;1;-;3;1;-;5
"110180 VALE DO PARAISO";1;-;-;-;-;-;-;-;-;1
"120005 ASSIS BRASIL";-;1;-;-;-;-;-;-;-;1
"120010 BRASILEIA";1;-;-;2;1;2;1;-;-;7
"120020 CRUZEIRO DO SUL";-;-;-;-;1;1;-;-;-;2
"120025 EPITACIOLANDIA";-;-;-;-;-;-;1;-;-;1
"120030 FEIJO";-;-;-;-;-;-;1;-;-;1
"120033 MANCIO LIMA";-;1;-;-;-;-;-;-;-;1
"120035 MARECHAL THAUMATURGO";-;-;1;6;2;5;-;-;-;14
"120039 PORTO WALTER";2;-;-;-;-;-;-;-;-;2
"120040 RIO BRANCO";3;-;-;1;7;8;13;8;-;40
"120042 RODRIGUES ALVES";-;-;1;-;-;-;-;-;-;1
"120045 SENADOR GUIOMARD";-;-;-;-;2;-;-;-;-;2
"120050 SENA MADUREIRA";3;5;2;-;-;-;-;-;-;10
"120080 PORTO ACRE";-;-;-;-;1;-;-;-;-;1
"130020 ATALAIA DO NORTE";-;-;2;-;-;-;-;-;-;2
"130060 BENJAMIN CONSTANT";-;-;-;-;-;1;-;-;-;1
