DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2020
"Município infecção";"Em Branco/ign";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110002 ARIQUEMES";-;1;10;7;12;10;10;8;4;7;4;4;2;-;9;5;2;4;3;2;11;2;3;5;3;4;5;5;1;2;2;1;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;2;2;1;2;-;-;158
"110003 CABIXI";-;1;1;4;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;10
"110004 CACOAL";-;2;-;-;2;2;2;2;-;1;3;4;-;1;4;5;3;1;1;8;2;5;1;3;3;5;1;1;1;2;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;9;5;-;-;89
"110005 CEREJEIRAS";-;2;8;12;15;16;9;6;2;5;15;12;7;7;9;7;4;1;1;6;2;1;1;1;-;-;-;-;1;-;1;-;-;2;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;157
"110006 COLORADO DO OESTE";-;-;1;-;-;-;-;1;-;1;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"110007 CORUMBIARA";-;-;1;1;2;3;2;-;1;4;1;4;1;1;2;-;-;1;1;1;-;1;-;-;2;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
"110008 COSTA MARQUES";-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;2;2;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;4;3;-;-;24
"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110010 GUAJARA-MIRIM";-;1;-;-;-;4;1;-;-;1;-;1;-;-;-;-;-;-;2;-;-;2;2;1;2;-;-;2;-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;26
