DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2024
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"110001 ALTA FLORESTA D'OESTE";-;4;4;8;5;3;3;14;14;17;15;10;8;11;11;4;7;11;2;6;-;2;1;3;3;5;2;1;3;-;1;1;2;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;186
"110002 ARIQUEMES";6;13;10;13;3;4;-;1;3;3;2;3;7;1;-;2;3;-;1;-;4;-;-;-;-;-;-;-;-;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84
"110004 CACOAL";1;4;4;7;11;15;4;21;16;14;12;4;4;5;3;3;-;1;1;1;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;1;-;-;-;-;2;-;-;1;2;-;4;4;4;-;-;153
"110005 CEREJEIRAS";-;-;-;-;-;1;1;4;4;1;1;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"110006 COLORADO DO OESTE";1;-;-;-;-;1;-;2;4;1;3;1;1;3;-;-;-;-;-;-;-;1;-;2;2;-;3;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;30
"110007 CORUMBIARA";-;-;1;-;1;2;8;4;2;2;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"110008 COSTA MARQUES";-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110009 ESPIGAO D'OESTE";-;-;-;1;2;4;5;5;15;30;47;20;19;31;9;14;16;3;4;1;2;-;2;-;-;2;-;-;-;1;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;237
"110010 GUAJARA-MIRIM";1;2;-;1;-;-;2;-;3;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;17
"110011 JARU";1;2;5;5;8;9;6;4;6;9;5;3;-;-;1;4;-;2;2;-;1;-;-;-;-;2;2;2;1;-;1;-;-;2;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;86
