DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Total"
"110001 ALTA FLORESTA D'OESTE";2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"110002 ARIQUEMES";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"110003 CABIXI";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;2;1;1;4;2;13
"110004 CACOAL";3;-;-;2;1;4;5;4;2;8;3;3;3;5;-;-;1;-;-;-;44
"110005 CEREJEIRAS";-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"110006 COLORADO DO OESTE";-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"110007 CORUMBIARA";-;-;1;3;2;1;3;3;-;2;1;-;3;1;-;1;1;-;-;-;22
"110008 COSTA MARQUES";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;1;-;-;5
"110009 ESPIGAO D'OESTE";-;1;3;2;-;-;-;-;1;2;-;-;3;-;-;-;-;-;-;-;12
"110010 GUAJARA-MIRIM";-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;3
"110011 JARU";1;-;3;1;-;3;4;2;-;1;-;-;1;5;1;-;2;9;9;2;44
"110012 JI-PARANA";1;-;2;1;2;1;5;3;5;8;8;3;-;6;3;-;-;-;-;-;48
"110013 MACHADINHO D'OESTE";-;-;1;-;1;1;2;-;1;-;-;-;1;-;-;-;-;-;-;-;7
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;1;1;1;-;1;2;-;-;-;-;-;-;1;-;-;-;7
"110015 OURO PRETO DO OESTE";-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-;2;-;-;8
"110018 PIMENTA BUENO";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"110020 PORTO VELHO";9;8;2;5;7;4;3;3;6;5;8;14;4;7;2;8;7;2;-;-;104
"110025 PRESIDENTE MEDICI";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";1;-;-;-;-;-;-;-;1;1;4;8;24;31;11;21;10;3;-;-;115
"110029 SANTA LUZIA D'OESTE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;4
"110030 VILHENA";2;-;5;1;5;15;4;5;3;7;24;27;33;-;-;1;-;-;-;-;132
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;1;-;-;-;5
"110033 NOVA MAMORE";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"110034 ALVORADA D'OESTE";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;5
"110037 ALTO ALEGRE DOS PARECIS";-;3;-;1;-;-;-;3;5;2;10;2;-;-;-;-;2;-;-;-;28
"110040 ALTO PARAISO";-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;4
"110045 BURITIS";-;-;-;2;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;6
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;1;-;-;-;6
"110060 CACAULANDIA";1;-;1;-;-;2;2;-;-;1;-;1;-;-;-;-;-;-;-;-;8
"110080 CANDEIAS DO JAMARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110092 CHUPINGUAIA";-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"110094 CUJUBIM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110100 GOVERNADOR JORGE TEIXEIRA";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110120 MINISTRO ANDREAZZA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"110130 MIRANTE DA SERRA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"110143 NOVA UNIAO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"110145 PARECIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;1;-;7
"110146 PIMENTEIRAS DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;1;1;1;-;-;-;-;-;-;-;5;6;8;20;15;21;-;78
"110155 TEIXEIROPOLIS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110170 URUPA";-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110175 VALE DO ANARI";-;1;1;-;-;-;5;1;2;1;-;1;2;-;3;2;-;3;3;2;27
"120001 ACRELANDIA";1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120005 ASSIS BRASIL";-;-;-;-;3;6;5;4;5;5;6;2;1;3;1;2;1;2;4;-;50
"120010 BRASILEIA";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;2;-;-;5
"120013 BUJARI";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"120020 CRUZEIRO DO SUL";27;4;24;46;63;50;38;3;5;11;4;5;1;-;-;-;-;-;-;-;281
"120025 EPITACIOLANDIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"120030 FEIJO";20;20;26;65;43;42;49;47;32;26;33;32;29;13;10;9;32;15;9;-;552
"120033 MANCIO LIMA";4;4;7;15;2;4;4;3;6;3;-;1;-;-;-;-;-;-;-;-;53
"120034 MANOEL URBANO";-;-;-;1;3;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7
"120035 MARECHAL THAUMATURGO";5;8;17;14;14;12;14;7;6;2;3;6;3;2;-;2;4;-;-;-;119
"120038 PLACIDO DE CASTRO";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"120039 PORTO WALTER";2;2;2;6;2;4;6;5;3;3;4;5;3;1;3;1;1;-;-;-;53
"120040 RIO BRANCO";44;69;89;113;89;101;114;124;86;67;100;86;57;22;7;7;1;5;3;-;1184
"120042 RODRIGUES ALVES";19;23;11;7;8;1;4;2;2;1;2;3;3;-;2;-;1;-;-;-;89
"120045 SENADOR GUIOMARD";-;1;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120050 SENA MADUREIRA";-;-;-;-;-;1;-;-;1;2;2;-;-;1;4;-;-;-;-;-;11
"120060 TARAUACA";25;35;38;48;32;23;17;7;-;-;-;2;-;1;-;-;-;-;-;-;228
"120070 XAPURI";-;-;-;-;-;-;2;1;-;-;1;1;-;1;-;-;-;-;1;-;7
"120080 PORTO ACRE";-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;4
"130002 ALVARAES";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"130014 APUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130020 ATALAIA DO NORTE";-;-;-;-;1;3;15;14;21;50;82;46;69;72;41;14;28;17;2;-;475
"130030 AUTAZES";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"130040 BARCELOS";-;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;4
