Região|UF|Município	UF	Ano/Semana	Casos prováveis de Dengue.
Sul	Santa Catarina	2024/01	529
Sul	Santa Catarina	2024/02	708
Sul	Santa Catarina	2024/03	1.114
Sul	Santa Catarina	2024/04	1.456
Sul	Santa Catarina	2024/05	2.183
Sul	Santa Catarina	2024/06	3.863
Sul	Santa Catarina	2024/07	6.504
Sul	Santa Catarina	2024/08	9.661
Sul	Santa Catarina	2024/09	12.523
Sul	Santa Catarina	2024/10	14.705
Sul	Santa Catarina	2024/11	17.812
Sul	Santa Catarina	2024/12	24.642
Sul	Santa Catarina	2024/13	25.716
Sul	Santa Catarina	2024/14	28.224
Sul	Santa Catarina	2024/15	30.270
Sul	Santa Catarina	2024/16	29.614
Sul	Santa Catarina	2024/17	25.324
Sul	Santa Catarina	2024/18	21.981
Sul	Santa Catarina	2024/19	23.147
Sul	Santa Catarina	2024/20	20.156
Sul	Santa Catarina	2024/21	9.966
Sul	Santa Catarina	2024/22	6.198
Sul	Santa Catarina	2024/23	4.454
Sul	Santa Catarina	2024/24	4.266
Sul	Santa Catarina	2024/25	3.461
Sul	Santa Catarina	2024/26	2.129
Sul	Santa Catarina	2024/27	1.176
Sul	Santa Catarina	2024/28	586
Sul	Santa Catarina	2024/29	401
Sul	Santa Catarina	2024/30	446
Sul	Santa Catarina	2024/31	371
Sul	Santa Catarina	2024/32	272
Sul	Santa Catarina	2024/33	200
Sul	Santa Catarina	2024/34	189
Sul	Santa Catarina	2024/35	85
Sul	Santa Catarina	2024/36	74
Sul	Santa Catarina	2024/37	78
Sul	Santa Catarina	2024/38	84
Sul	Santa Catarina	2024/39	98
Sul	Santa Catarina	2024/40	99
Sul	Santa Catarina	2024/41	109
Sul	Santa Catarina	2024/42	111
Sul	Santa Catarina	2024/43	121
Sul	Santa Catarina	2024/44	131
Sul	Santa Catarina	2024/45	134
Sul	Santa Catarina	2024/46	157
Sul	Santa Catarina	2024/47	140
Sul	Santa Catarina	2024/48	144
Sul	Santa Catarina	2024/49	244
Sul	Santa Catarina	2024/50	333
Sul	Santa Catarina	2024/51	252
Sul	Santa Catarina	2024/52	211
Sul	Santa Catarina	2025/01	329
Sul	Santa Catarina	2025/02	345
Sul	Santa Catarina	2025/03	328
Sul	Santa Catarina	2025/04	386
Sul	Santa Catarina	2025/05	357
Sul	Santa Catarina	2025/06	371
Sul	Santa Catarina	2025/07	404
Sul	Santa Catarina	2025/08	535
Sul	Santa Catarina	2025/09	607
Sul	Santa Catarina	2025/10	787
Sul	Santa Catarina	2025/11	1.095
Sul	Santa Catarina	2025/12	1.289
Sul	Santa Catarina	2025/13	1.420
Sul	Santa Catarina	2025/14	1.925
Sul	Santa Catarina	2025/15	1.991
Sul	Santa Catarina	2025/16	1.904
Sul	Santa Catarina	2025/17	2.393
Sul	Santa Catarina	2025/18	2.583
Sul	Santa Catarina	2025/19	2.812
Sul	Santa Catarina	2025/20	3.038
Sul	Rio Grande Do Sul	2024/01	349
Sul	Rio Grande Do Sul	2024/02	467
Sul	Rio Grande Do Sul	2024/03	789
Sul	Rio Grande Do Sul	2024/04	1.251
Sul	Rio Grande Do Sul	2024/05	1.685
Sul	Rio Grande Do Sul	2024/06	2.695
Sul	Rio Grande Do Sul	2024/07	4.466
Sul	Rio Grande Do Sul	2024/08	5.803
Sul	Rio Grande Do Sul	2024/09	7.244
Sul	Rio Grande Do Sul	2024/10	10.074
Sul	Rio Grande Do Sul	2024/11	12.045
Sul	Rio Grande Do Sul	2024/12	14.367
Sul	Rio Grande Do Sul	2024/13	15.562
Sul	Rio Grande Do Sul	2024/14	18.724
Sul	Rio Grande Do Sul	2024/15	21.120
Sul	Rio Grande Do Sul	2024/16	21.474
Sul	Rio Grande Do Sul	2024/17	18.840
Sul	Rio Grande Do Sul	2024/18	15.850
Sul	Rio Grande Do Sul	2024/19	14.218
Sul	Rio Grande Do Sul	2024/20	14.458
Sul	Rio Grande Do Sul	2024/21	4.223
Sul	Rio Grande Do Sul	2024/22	3.643
Sul	Rio Grande Do Sul	2024/23	2.215
Sul	Rio Grande Do Sul	2024/24	2.786
Sul	Rio Grande Do Sul	2024/25	2.796
Sul	Rio Grande Do Sul	2024/26	1.646
Sul	Rio Grande Do Sul	2024/27	824
Sul	Rio Grande Do Sul	2024/28	347
Sul	Rio Grande Do Sul	2024/29	310
Sul	Rio Grande Do Sul	2024/30	275
Sul	Rio Grande Do Sul	2024/31	247
Sul	Rio Grande Do Sul	2024/32	158
Sul	Rio Grande Do Sul	2024/33	137
Sul	Rio Grande Do Sul	2024/34	124
Sul	Rio Grande Do Sul	2024/35	112
Sul	Rio Grande Do Sul	2024/36	133
Sul	Rio Grande Do Sul	2024/37	134
Sul	Rio Grande Do Sul	2024/38	103
Sul	Rio Grande Do Sul	2024/39	125
Sul	Rio Grande Do Sul	2024/40	114
Sul	Rio Grande Do Sul	2024/41	96
Sul	Rio Grande Do Sul	2024/42	118
Sul	Rio Grande Do Sul	2024/43	113
Sul	Rio Grande Do Sul	2024/44	128
Sul	Rio Grande Do Sul	2024/45	134
Sul	Rio Grande Do Sul	2024/46	114
Sul	Rio Grande Do Sul	2024/47	90
Sul	Rio Grande Do Sul	2024/48	141
Sul	Rio Grande Do Sul	2024/49	123
Sul	Rio Grande Do Sul	2024/50	86
Sul	Rio Grande Do Sul	2024/51	97
Sul	Rio Grande Do Sul	2024/52	47
Sul	Rio Grande Do Sul	2025/01	129
Sul	Rio Grande Do Sul	2025/02	165
Sul	Rio Grande Do Sul	2025/03	177
Sul	Rio Grande Do Sul	2025/04	216
Sul	Rio Grande Do Sul	2025/05	223
Sul	Rio Grande Do Sul	2025/06	271
Sul	Rio Grande Do Sul	2025/07	387
Sul	Rio Grande Do Sul	2025/08	649
Sul	Rio Grande Do Sul	2025/09	825
Sul	Rio Grande Do Sul	2025/10	1.159
Sul	Rio Grande Do Sul	2025/11	2.156
Sul	Rio Grande Do Sul	2025/12	2.793
Sul	Rio Grande Do Sul	2025/13	4.939
Sul	Rio Grande Do Sul	2025/14	7.225
Sul	Rio Grande Do Sul	2025/15	7.305
Sul	Rio Grande Do Sul	2025/16	7.426
Sul	Rio Grande Do Sul	2025/17	9.459
